book	booksamillion	author				
1677	1	Anthony Horowitz				
1678	1	Judith Byron Schachner				
1680	1	Lauren Barnholdt				
1681	1	Matthew Reilly				
1682	1	Hannah Howell				
1685	1	Kay Hooper				
1686	1	Patricia Daniels Cornwell				
1687	1	Anne Hooper				
1688	1	Karin Slaughter				
1689	1	Kristin Hannah				
1691	1	Robert Crais				
1694	1	Jocelynn Drake				
1695	1	Tara Janzen				
1696	1	Carolyn Crane				
1699	1	Steve Lawhead				
1700	1	L. A. Banks				
1701	1	Jen Yates				
1703	1	Joy Nash				
1704	1	Chuck Palahniuk				
1705	1	Tess Gerritsen				
1706	1	Donita K. Paul				
1708	1	Jean Johnson				
1709	1	Ted Kerasote				
1710	1	Jaci Burton				
1711	1	Kate Douglas				
1712	1	Catherine Coulter				
1713	1	Ridha Arem				
1714	1	Dean Graziosi				
1715	1	Madeleine L'Engle				
1716	1	Missy Chase Lapine				
1717	1	Kinley MacGregor				
1718	1	John Sandford				
1720	1	Jhumpa Lahiri				
1721	1	John MacArthur				
1722	1	Paul Hattaway				
1723	1	Johanna Lindsey				
1724	1	Robert Cormier				
1725	1	Barbara Park				
1726	1	Tom Stoppard				
1728	1	Mercer Mayer				
1729	1	Janice A. Thompson				
1731	1	Jane Buckingham				
1733	1	Nancy Holder				
1735	1	Johanna Kerby				
1736	1	Sherryl Woods				
1737	1	Erica Ridley				
1738	1	Hannah Howell				
1739	1	Rachael Herron				
1740	1	Kate White				
1742	1	Miranda Bliss				
1744	1	Eric Puchner				
1745	1	Lesley Livingston				
1746	1	Thea Stilton				
1747	1	Karen Spears Zacharias				
1748	1	Dan Simmons				
1749	1	Kati Marton				
1751	1	Karen Rose				
1752	1	Melanie Phillips				
1754	1	Alyssa Day				
1756	1	Leonard Sax				
1759	1	Ed Emberley				
1760	1	Dorothea Benton Frank				
1762	1	Sandra Boynton				
1763	1	David McCullough				
1764	1	John Ajvide Lindqvist				
1766	1	Maxime Valette				
1767	1	Joseph E. Stiglitz				
1768	1	Peter M. Dunbar				
1769	1	Margaret Weis				
1771	1	Paul Mladjenovic				
1772	1	Jonathan Tropper				
1774	1	Anna Campbell				
1776	1	Ron Phillips				
1777	1	James Patterson				
1778	1	Mario Acevedo				
1779	1	Tim Dorsey				
1781	1	Staff of Kaplan Test Prep and Admissions				
1782	1	Suzanne Enoch				
1783	1	Mark Hyman				
1784	1	Steve Berry				
1785	1	Michael Connelly				
1787	1	Jeffry P. Lindsay				
1788	1	Cate Tiernan				
1789	1	Sue Monk Kidd				
1791	1	Upton Sinclair				
1792	1	Julia Quinn				
1794	1	Michael J. Gelb				
1795	1	Stephen King				
1796	1	Anne Fadiman				
1798	1	Molly Harper				
1799	1	P. J. Parrish				
1800	1	Elizabeth Chandler				
1801	1	Flor Arcaya de Deliot				
1802	1	Molly Gloss				
1803	1	Sam Stephenson				
1804	1	R. L. Stine				
1805	1	Susan Mcewen Mcintosh				
1806	1	Barbara Ehrenreich				
1808	1	Keith R. Mcfarland				
1810	1	Kimberly Raye				
1812	1	Raymond E. Feist				
1813	1	Lorelei James				
1814	1	Melissa Mayhue				
1816	1	Judith Byron Schachner				
1817	1	Grosset & Dunlap				
1818	1	Paul McFedries				
1819	1	Robert Crais				
1821	1	John Grisham				
1822	1	Amanda Ashley				
1823	1	James Patterson				
1824	1	Oliver W. Sacks				
1825	1	Bryce Courtenay				
1826	1	Louis L'Amour				
1827	1	Amanda Marrone				
1828	1	Jon M. Huntsman				
1829	1	Matthew B. Crawford				
1830	1	David J. Kilcullen				
1831	1	Jennifer Ashley				
1832	1	Taylor Branch				
1833	1	Akira Himekawa				
1834	1	Craig M. Mullaney				
1835	1	Heidi Betts				
1837	1	Stuart Woods				
1838	1	Gary Chapman				
1839	1	Jan Brett				
1840	1	Kathryn Smith				
1841	1	Cinda Williams Chima				
1842	1	Elizabeth Watson				
1843	1	Karen Rose				
1844	1	Peg Kehret				
1845	1	Daniel Silva				
1847	1	Candace Bushnell				
1849	1	William Powell				
1851	1	Scott Hahn				
1852	1	Nora Roberts				
1853	1	V. C. Andrews				
1854	1	Deepak Chopra				
1855	1	Christie Ridgway				
1856	1	Beverly Lewis				
1857	1	Christopher Rice				
1858	1	Sadie Callahan				
1859	1	Sharnnia Artis Ph. D.				
1860	1	Garth Nix				
1861	1	G. A. Aiken				
1863	1	Guy Gavriel Kay				
1866	1	Carly Phillips				
1867	1	Perry Stone				
1868	1	Lori Foster				
1870	1	Steven Erikson				
1871	1	Kim Bensen				
1873	1	B. J. Hoff				
1876	1	Chuck Palahniuk				
1877	1	Heather Lende				
1881	1	Hannah Howell				
1883	1	Alice Hoffman				
1884	1	Charles R. Morris				
1886	1	Kristin Hannah				
1887	1	Jefferson Bass				
1888	1	Mary Downing Hahn				
1889	1	Brenda Jackson				
1890	1	Frank Schaffer Publications				
1893	1	C. J. Mahaney				
1894	1	Fannie Flagg				
1896	1	Darren Shan				
1898	1	Homer H. Hickam				
1899	1	Anthony Parinello				
1901	1	Douglas Adams				
1902	1	Lori Lansens				
1903	1	Ursula Doyle				
1904	1	Kasey Michaels				
1905	1	Jonathan Kellerman				
1907	1	Wizards Rpg Team				
1908	1	Clinton Kelly				
1909	1	Gary Vaynerchuk				
1910	1	Mike Huckabee				
1911	1	Marjorie M. Liu				
1912	1	Rick Shenkman				
1913	1	Lauren Dane				
1914	1	Melissa Mayhue				
1915	1	Denise Swanson				
1917	1	Elisa Lynn Carbone				
1918	1	Mordicai Gerstein				
1919	1	Cate Tiernan				
1920	1	Robert Crais				
1922	1	Louise Fitzhugh				
1923	1	Diana Gabaldon				
1924	1	Cormac McCarthy				
1925	1	Jerry S. Eicher				
1927	1	Tom Holladay				
1928	1	Michael Graham				
1930	1	Suze Orman				
1931	1	Karen Kingsbury				
1933	1	Yoshio Sawai				
1936	1	Lucy Cousins				
1939	1	Betty Neels				
1940	1	Sophie Littlefield				
1941	1	Mishna Wolff				
1942	1	Matt Mikalatos				
1943	1	Jennifer Crusie				
1945	1	Annette Blair				
1946	1	William W. Johnstone				
1947	1	Trista Russell				
1948	1	Bob Sehlinger				
1949	1	Ian McEwan				
1950	1	Brigitte Gabriel				
1951	1	Christopher Paul Curtis				
1953	1	Melba Pattillo Beals				
1954	1	Leslie Ludy				
1956	1	Margaret Peterson Haddix				
1957	1	Peggy Klaus				
1959	1	John Sandford				
1960	1	Roger Hargreaves				
1961	1	A. J. Russell				
1962	1	Sandra Brown				
1963	1	S. E. Hinton				
1966	1	Paco Underhill				
1967	1	Elizabeth Noble				
1970	1	Martin Handford				
1972	1	Laura Schlessinger				
1973	1	Robin Cook				
1974	1	Michele Hauf				
1977	1	Anne Bishop				
1978	1	Julia Child				
1979	1	Chris Fabry				
1980	1	III Andre Dubus				
1982	1	Lori Handeland				
1986	1	Mo Willems				
1987	1	Sherry Argov				
1988	1	Francine Rivers				
1990	1	Stuart Woods				
1993	1	Neil T. Anderson				
1994	1	L. J. Sattgast				
1995	1	Raymond E. Feist				
1998	1	Lori Wilde				
1999	1	Anne Rivers Siddons				
