restaurant	urbanspoon	cuisine			
0032	1	Thai			
0036	1	Sandwiches/Subs			
0039	1	Barbecue			
0042	1	Barbecue			
0050	1	Barbecue			
0051	1	Modern American			
0056	1	Italian			
0065	1	Vegetarian			
0071	1	Barbecue			
0076	1	Mexican			
0080	1	American			
0082	1	Pub Food			
0089	1	Mexican			
0096	1	Seafood			
0098	1	Italian			
0105	1	Italian			
0107	1	Desserts/Ice Cream			
0108	1	Mexican			
0110	1	Italian			
0111	1	Mexican			
0112	1	Greek			
0116	1	Barbecue			
0120	1	Chinese			
0121	1	Italian			
0126	1	Italian			
0142	1	Italian			
0143	1	Mexican			
0144	1	Mexican			
0146	1	Indian			
0154	1	Bakery			
0169	1	Italian			
0174	1	Italian			
0175	1	Barbecue			
0176	1	Seafood			
0177	1	Pizza			
0185	1	German			
0189	1	Barbecue			
0203	1	Sushi			
0207	1	Italian			
0208	1	American			
0212	1	American			
0215	1	American			
0227	1	Italian			
0228	1	Seafood			
0230	1	Desserts/Ice Cream			
0234	1	Greek			
0236	1	Pizza			
0237	1	Pizza			
0239	1	Pizza			
0245	1	American			
0246	1	Bakery			
0251	1	Indian			
0258	1	Pizza			
0260	1	Sandwiches/Subs			
0261	1	Thai			
0265	1	Desserts/Ice Cream			
0272	1	Barbecue			
0274	1	Barbecue			
0276	1	Mexican			
0277	1	Desserts/Ice Cream			
0279	1	Italian			
0282	1	Italian			
0283	1	Indian			
0290	1	Seafood			
0293	1	Mexican			
0300	1	Barbecue			
0303	1	Italian			
0307	1	Barbecue			
0309	1	Italian			
0310	1	International			
0313	1	French			
0320	1	Chinese			
0322	1	Mediterranean			
0332	1	Pizza			
0333	1	Sushi			
0337	1	Italian			
0340	1	Pizza			
0342	1	Breakfast/Brunch			
0343	1	French			
0346	1	Fast Food			
0347	1	Thai			
0348	1	Desserts/Ice Cream			
0351	1	Chinese			
0355	1	Coffee			
0356	1	Chinese			
0357	1	Barbecue			
0358	1	Mexican			
0360	1	Italian			
0361	1	Chinese			
0374	1	Cuban			
0376	1	Barbecue			
0382	1	Thai			
0384	1	Barbecue			
0390	1	Mexican			
0391	1	Pizza			
0392	1	Burgers			
0393	1	Sandwiches/Subs			
0394	1	European			
0395	1	Bakery			
0397	1	Mexican			
0413	1	Mexican			
0416	1	Chinese			
0419	1	Pizza			
0420	1	Bagels			
0421	1	Burgers			
0424	1	Italian			
0428	1	American			
0430	1	Desserts/Ice Cream			
0435	1	Burgers			
0438	1	Seafood			
0444	1	Thai			
0447	1	Desserts/Ice Cream			
0449	1	Burgers			
0451	1	American			
0452	1	Hawaiian			
0453	1	Japanese			
0454	1	Steakhouse			
0456	1	Breakfast/Brunch			
0458	1	Smoothies			
0459	1	Sushi			
0462	1	Breakfast/Brunch			
0463	1	Desserts/Ice Cream			
0470	1	Italian			
0472	1	Steakhouse			
0479	1	Steakhouse			
0497	1	Seafood			
0501	1	Sushi			
0503	1	Seafood			
0506	1	Mexican			
0510	1	Steakhouse			
0511	1	French			
0512	1	Thai			
0514	1	American			
0515	1	Chinese			
0517	1	Steakhouse			
0519	1	French			
0520	1	Greek			
0523	1	Indian			
0526	1	Thai			
0527	1	American			
0528	1	Burgers			
0531	1	Italian			
0537	1	Sushi			
0538	1	American			
0541	1	American			
0542	1	Seafood			
0543	1	Indian			
0548	1	Japanese			
0549	1	Mexican			
0557	1	Pub Food			
0561	1	Desserts/Ice Cream			
0567	1	Steakhouse			
0572	1	Mexican			
0575	1	Pizza			
0586	1	Steakhouse			
0591	1	Caribbean			
0593	1	Mexican			
0598	1	Middle Eastern			
0601	1	American			
0605	1	Mexican			
0610	1	Pizza			
0613	1	German			
0620	1	Thai			
0624	1	Mexican			
0625	1	Middle Eastern			
0626	1	Latin American			
0631	1	Mediterranean			
0633	1	Japanese			
0635	1	Barbecue			
0636	1	Southern &amp; Soul			
0639	1	Italian			
0640	1	Barbecue			
0645	1	Seafood			
0646	1	Mexican			
0648	1	Caribbean			
0649	1	Burgers			
0651	1	Pizza			
0663	1	Modern American			
0664	1	Sandwiches/Subs			
0668	1	Peruvian			
0680	1	American			
0681	1	Eastern European			
0682	1	Tapas			
0686	1	Italian			
0702	1	Italian			
0708	1	Mexican			
0717	1	Italian			
0718	1	Mexican			
0720	1	Mexican			
0723	1	Italian			
0725	1	Seafood			
0733	1	Breakfast/Brunch			
0742	1	European			
0746	1	Latin American			
0748	1	Noodle Shop			
0749	1	Mexican			
0750	1	Italian			
0752	1	Italian			
0756	1	Greek			
0757	1	Thai			
0767	1	Italian			
0771	1	Barbecue			
0779	1	Italian			
0782	1	Vietnamese			
0784	1	Thai			
0788	1	Sandwiches/Subs			
0789	1	Desserts/Ice Cream			
0792	1	Seafood			
0793	1	Cuban			
0796	1	Modern American			
0802	1	Southwestern			
0803	1	Italian			
0804	1	Pizza			
0805	1	French			
0808	1	Italian			
0810	1	Pizza			
0811	1	Italian			
0815	1	Sushi			
0816	1	Thai			
0819	1	Italian			
0823	1	French			
0824	1	Italian			
0825	1	Asian			
0828	1	Middle Eastern			
0832	1	Desserts/Ice Cream			
0843	1	Thai			
0848	1	Thai			
0850	1	Sandwiches/Subs			
0857	1	Thai			
0858	1	Italian			
0860	1	Indian			
0869	1	Steakhouse			
0871	1	American			
0877	1	Pizza			
0883	1	Barbecue			
0890	1	Burgers			
0893	1	American			
0895	1	Seafood			
0897	1	Burgers			
0899	1	Mexican			
0900	1	Italian			
0902	1	Hawaiian			
0904	1	Pizza			
0910	1	Modern American			
0914	1	Desserts/Ice Cream			
0915	1	Asian			
0917	1	Vietnamese			
0920	1	Puerto Rican			
0927	1	Italian			
0931	1	Chinese			
0933	1	Italian			
0936	1	American			
0938	1	Chinese			
0939	1	American			
0942	1	Desserts/Ice Cream			
0946	1	Spanish			
0947	1	Caribbean			
0957	1	Mexican			
0960	1	Mexican			
0963	1	Thai			
0967	1	Thai			
0969	1	American			
0976	1	Pizza			
0982	1	Mexican			
0983	1	Pizza			
0992	1	Pub Food			
1002	1	Italian			
1012	1	French			
1014	1	Chinese			
1018	1	Pizza			
1020	1	Bagels			
1025	1	Bakery			
1027	1	Pizza			
1030	1	Desserts/Ice Cream			
1042	1	Burgers			
1053	1	Southern &amp; Soul			
1054	1	European			
1055	1	Pizza			
1058	1	Thai			
1062	1	Sushi			
1065	1	Mexican			
1066	1	Thai			
1067	1	American			
1068	1	American			
1071	1	Barbecue			
1072	1	Thai			
1073	1	American			
1074	1	Mediterranean			
1075	1	International			
1076	1	Italian			
1077	1	Mexican			
1078	1	Italian			
1081	1	Italian			
1086	1	Italian			
1088	1	Chinese			
1089	1	Italian			
1091	1	Pizza			
1094	1	Pizza			
1103	1	Mexican			
1105	1	Barbecue			
1107	1	Steakhouse			
1108	1	Middle Eastern			
1111	1	Brazilian			
1113	1	Indian			
1118	1	Burgers			
1129	1	Italian			
1133	1	Burgers			
1140	1	American			
1141	1	Moroccan			
1143	1	Mexican			
1151	1	Italian			
1156	1	Sushi			
1157	1	Mexican			
1158	1	Mexican			
1159	1	Mexican			
1160	1	Pizza			
1162	1	Thai			
1163	1	Desserts/Ice Cream			
1165	1	Mexican			
1166	1	Breakfast/Brunch			
1167	1	Italian			
1168	1	Pizza			
1169	1	American			
1170	1	Desserts/Ice Cream			
1172	1	Sandwiches/Subs			
1173	1	Thai			
1178	1	Sandwiches/Subs			
1179	1	French			
1180	1	French			
1181	1	Thai			
1184	1	Thai			
1188	1	Steakhouse			
1196	1	Desserts/Ice Cream			
1197	1	American			
1205	1	Italian			
1206	1	American			
1207	1	Desserts/Ice Cream			
1208	1	Italian			
1213	1	Mexican			
1214	1	Pizza			
1216	1	Barbecue			
1219	1	Tapas			
1220	1	Middle Eastern			
1224	1	Italian			
1226	1	Mexican			
1227	1	Pizza			
1230	1	Indian			
1231	1	Pizza			
1232	1	Chinese			
1233	1	Sandwiches/Subs			
1234	1	Desserts/Ice Cream			
1235	1	Italian			
1247	1	Barbecue			
1248	1	Cajun/Creole			
1251	1	Seafood			
1254	1	Desserts/Ice Cream			
1255	1	Burgers			
1256	1	Greek			
1258	1	Mexican			
1261	1	Indian			
1262	1	Breakfast/Brunch			
1268	1	Mexican			
1269	1	Indian			
1270	1	Coffee			
1271	1	Mexican			
1274	1	Steakhouse			
1281	1	Mexican			
1285	1	Mexican			
1288	1	Breakfast/Brunch			
1290	1	American			
1292	1	Mexican			
1294	1	Italian			
1295	1	Pizza			
1297	1	Burgers			
1306	1	Italian			
1309	1	Thai			
1314	1	Thai			
1315	1	Sandwiches/Subs			
1332	1	Fast Food			
1333	1	Pizza			
1339	1	Tacos			
1340	1	Pizza			
1344	1	Pub Food			
1345	1	Indian			
1347	1	Chinese			
1348	1	Pizza			
1349	1	Coffee			
1353	1	Smoothies			
1354	1	Sandwiches/Subs			
1356	1	Sushi			
1359	1	Sandwiches/Subs			
1361	1	Barbecue			
1363	1	Mexican			
1366	1	American			
1367	1	Sandwiches/Subs			
1374	1	Sandwiches/Subs			
1375	1	Pizza			
1377	1	Pizza			
1380	1	Diner			
1381	1	Burgers			
1383	1	Pizza			
1386	1	Pizza			
1387	1	French			
1396	1	Coffee			
1397	1	Chinese			
1399	1	Sandwiches/Subs			
1401	1	Desserts/Ice Cream			
1403	1	American			
1404	1	Asian			
1406	1	Pizza			
1407	1	Chinese			
1411	1	Pizza			
1413	1	Seafood			
1414	1	Chinese			
1416	1	Pizza			
1417	1	Mexican			
1418	1	Pizza			
1419	1	Mexican			
1420	1	Pizza			
1422	1	Coffee			
1424	1	Pizza			
1426	1	Pizza			
1427	1	Sandwiches/Subs			
1429	1	Pizza			
1430	1	Thai			
1431	1	Pizza			
1432	1	Desserts/Ice Cream			
1433	1	Fast Food			
1435	1	Asian			
1438	1	Coffee			
1439	1	American			
1441	1	Donuts			
1442	1	Coffee			
1444	1	Steakhouse			
1446	1	Desserts/Ice Cream			
1449	1	American			
1451	1	Coffee			
1453	1	Chinese			
1454	1	American			
1455	1	Chinese			
1456	1	Burgers			
1459	1	Mexican			
1461	1	Chinese			
1463	1	Seafood			
1464	1	Desserts/Ice Cream			
1468	1	Breakfast/Brunch			
1469	1	Desserts/Ice Cream			
1472	1	Italian			
1474	1	Desserts/Ice Cream			
1476	1	Steakhouse			
1478	1	Sandwiches/Subs			
1479	1	Steakhouse			
1494	1	Southern &amp; Soul			
1495	1	Coffee			
1500	1	Sandwiches/Subs			
1507	1	Fast Food			
1510	1	Desserts/Ice Cream			
1511	1	Mexican			
1514	1	Pub Food			
1515	1	American			
1516	1	Sandwiches/Subs			
1518	1	Modern American			
1519	1	Pub Food			
1523	1	Pub Food			
1526	1	Mexican			
1528	1	Thai			
1530	1	Italian			
1531	1	Chinese			
1534	1	Southwestern			
1535	1	Pizza			
1536	1	Mexican			
1542	1	Donuts			
1543	1	Coffee			
1546	1	American			
1550	1	Southwestern			
1551	1	Bakery			
1552	1	Desserts/Ice Cream			
1555	1	Thai			
1558	1	American			
1559	1	Coffee			
1563	1	Coffee			
1566	1	Pub Food			
1569	1	Pizza			
1571	1	Italian			
1575	1	Sandwiches/Subs			
1576	1	Barbecue			
1580	1	Desserts/Ice Cream			
1581	1	Pizza			
1583	1	Bakery			
1585	1	Vegetarian			
1588	1	Steakhouse			
1592	1	American			
1593	1	Desserts/Ice Cream			
1596	1	Pizza			
1597	1	International			
1598	1	Desserts/Ice Cream			
1600	1	Tacos			
1607	1	Barbecue			
1608	1	Japanese			
1609	1	Hot Dogs			
1610	1	Vietnamese			
1619	1	Greek			
1622	1	Barbecue			
1623	1	Pizza			
1625	1	Fast Food			
1632	1	Pub Food			
1633	1	Mexican			
1634	1	Chinese			
1637	1	Mexican			
1638	1	Desserts/Ice Cream			
1640	1	Pizza			
1641	1	Italian			
1642	1	Coffee			
1643	1	Pizza			
1644	1	Donuts			
1647	1	American			
1648	1	Mexican			
1649	1	Mexican			
1651	1	Barbecue			
1652	1	Sandwiches/Subs			
1654	1	French			
1658	1	Eastern European			
1659	1	Chinese			
1660	1	Sandwiches/Subs			
1661	1	Seafood			
1662	1	Desserts/Ice Cream			
1664	1	Indian			
1666	1	American			
1669	1	Vietnamese			
1670	1	Chinese			
1674	1	Middle Eastern			
1675	1	Seafood			
1682	1	Barbecue			
1684	1	Soups			
1686	1	Pub Food			
1687	1	Pub Food			
1689	1	Bakery			
1691	1	Pub Food			
1699	1	Pub Food			
1702	1	Chinese			
1704	1	American			
1705	1	Mexican			
1706	1	International			
1707	1	Sandwiches/Subs			
1708	1	Bagels			
1709	1	Japanese			
1710	1	Pizza			
1713	1	Desserts/Ice Cream			
1715	1	Thai			
1717	1	American			
1718	1	Donuts			
1721	1	Asian			
1722	1	Sandwiches/Subs			
1723	1	Coffee			
1724	1	Sandwiches/Subs			
1727	1	Caribbean			
1729	1	Burgers			
1732	1	Coffee			
1733	1	Cajun/Creole			
1735	1	Steakhouse			
1736	1	Chinese			
1737	1	Desserts/Ice Cream			
1739	1	Seafood			
1740	1	Italian			
1743	1	Seafood			
1744	1	Coffee			
1745	1	Mexican			
1748	1	American			
1750	1	Chinese			
1751	1	African			
1752	1	Sushi			
1753	1	Barbecue			
1754	1	Italian			
1755	1	Fast Food			
1756	1	Greek			
1757	1	Desserts/Ice Cream			
1758	1	Desserts/Ice Cream			
1759	1	Chinese			
1760	1	Japanese			
1761	1	Seafood			
1763	1	Barbecue			
1765	1	Chinese			
1770	1	Mediterranean			
1772	1	Chinese			
1776	1	Pizza			
1778	1	Mexican			
1780	1	Mexican			
1781	1	Seafood			
1785	1	Sushi			
1786	1	Chinese			
1787	1	Thai			
1791	1	Chinese			
1792	1	Coffee			
1795	1	Pizza			
1797	1	Fast Food			
1801	1	Thai			
1802	1	Sandwiches/Subs			
1804	1	Desserts/Ice Cream			
1805	1	Barbecue			
1807	1	Hot Dogs			
1809	1	Coffee			
1813	1	Mexican			
1815	1	Barbecue			
1817	1	Barbecue			
1818	1	Mexican			
1820	1	Southern &amp; Soul			
1821	1	Sandwiches/Subs			
1823	1	Coffee			
1824	1	Mexican			
1825	1	Mexican			
1828	1	Coffee			
1831	1	Mexican			
1833	1	Mexican			
1835	1	Desserts/Ice Cream			
1839	1	Italian			
1840	1	Ethiopian/Eritrean			
1841	1	Donuts			
1843	1	Pizza			
1850	1	Italian			
1852	1	Thai			
1854	1	Bakery			
1859	1	Sandwiches/Subs			
1860	1	Pub Food			
1864	1	Pizza			
1865	1	Fast Food			
1866	1	Chinese			
1870	1	Pub Food			
1872	1	Pizza			
1874	1	Sandwiches/Subs			
1875	1	Pizza			
1877	1	Sandwiches/Subs			
1878	1	Coffee			
1879	1	Pizza			
1881	1	Japanese			
1882	1	American			
1886	1	Portuguese			
1889	1	American			
1891	1	Pizza			
1899	1	Mexican			
1901	1	Spanish			
1902	1	Pub Food			
1903	1	Chinese			
1905	1	Pizza			
1911	1	Burgers			
1913	1	Pizza			
1914	1	Desserts/Ice Cream			
1917	1	Pizza			
1920	1	Desserts/Ice Cream			
1921	1	Barbecue			
1926	1	Pizza			
1928	1	Pub Food			
1932	1	Desserts/Ice Cream			
1933	1	Coffee			
1934	1	Pub Food			
1935	1	Mexican			
1940	1	Steakhouse			
1942	1	Korean			
1944	1	Chinese			
1949	1	Burgers			
1953	1	Pizza			
1959	1	Italian			
1962	1	Pizza			
1965	1	Donuts			
1967	1	Bakery			
1968	1	Pizza			
1972	1	Pizza			
1974	1	Italian			
1977	1	Pizza			
1979	1	Chinese			
1982	1	Chinese			
1986	1	Chinese			
1991	1	Chinese			
1993	1	Coffee			
1999	1	Italian			
0411	0	<NULL>			
1327	0	<NULL>			
1334	0	<NULL>			
1335	0	<NULL>			
1370	0	<NULL>			
1371	0	<NULL>			
1390	0	<NULL>			
1394	0	<NULL>			
1398	0	<NULL>			
1409	0	<NULL>			
1425	0	<NULL>			
1428	0	<NULL>			
1434	0	<NULL>			
1436	0	<NULL>			
1448	0	<NULL>			
1452	0	<NULL>			
1457	0	<NULL>			
1460	0	<NULL>			
1486	0	<NULL>			
1487	0	<NULL>			
1524	0	<NULL>			
1529	0	<NULL>			
1539	0	<NULL>			
1586	0	<NULL>			
1603	0	<NULL>			
1614	0	<NULL>			
1618	0	<NULL>			
1620	0	<NULL>			
1627	0	<NULL>			
1630	0	<NULL>			
1646	0	<NULL>			
1653	0	<NULL>			
1656	0	<NULL>			
1665	0	<NULL>			
1667	0	<NULL>			
1672	0	<NULL>			
1673	0	<NULL>			
1680	0	<NULL>			
1683	0	<NULL>			
1690	0	<NULL>			
1692	0	<NULL>			
1694	0	<NULL>			
1696	0	<NULL>			
1700	0	<NULL>			
1714	0	<NULL>			
1742	0	<NULL>			
1764	0	<NULL>			
1782	0	<NULL>			
1784	0	<NULL>			
1856	0	<NULL>			
1867	0	<NULL>			
1880	0	<NULL>			
1887	0	<NULL>			
1894	0	<NULL>			
1895	0	<NULL>			
1898	0	<NULL>			
1922	0	<NULL>			
1924	0	<NULL>			
1937	0	<NULL>			
1963	0	<NULL>			
1970	0	<NULL>			
1973	0	<NULL>			
1984	0	<NULL>			
1985	0	<NULL>			
1995	0	<NULL>			
1998	0	<NULL>			
